source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
setuptools-rust,semantic-version,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
setuptools-rust,toml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-issues,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-issues,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-issues,flake8,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-issues,flake8-bugbear,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-issues,pre-commit,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-issues,tox,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,pytest-ruff,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,furo,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,sphinx-lint,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,pytest-enabler,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,more-itertools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,inflect,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,rst.linker,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,pytest-cov,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,pytest-black,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,jaraco.packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,pytest-checkdocs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
jaraco.itertools,pytest-mypy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-inline-tabs,myst-parser,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-inline-tabs,furo,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-inline-tabs,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-inline-tabs,pytest-cov,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-inline-tabs,pytest-xdist,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-inline-tabs,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
asgiref,mypy,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
asgiref,typing-extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
asgiref,pytest,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
asgiref,pytest-asyncio,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
olefile,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
olefile,pytest-cov,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinxext-opengraph,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-mypy,attrs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-mypy,filelock,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-mypy,mypy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-mypy,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,sphinxcontrib-htmlhelp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,sphinxcontrib-serializinghtml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,babel,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,docutils-stubs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,sphinxcontrib-qthelp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,sphinxcontrib-applehelp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,imagesize,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,html5lib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,docutils,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,cython,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,types-requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,alabaster,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,sphinx-lint,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,importlib-metadata,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,sphinxcontrib-websupport,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,sphinxcontrib-devhelp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,colorama,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,setuptools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,mypy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,flake8-simplify,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,isort,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,jinja2,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,snowballstemmer,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,pygments,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,ruff,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,filelock,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,sphinxcontrib-jsmath,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx,flake8,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
bcrypt,cffi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
bcrypt,six,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
bcrypt,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-subtests,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-subtests,attrs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
django,sqlparse,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
django,argon2-cffi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
django,bcrypt,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
django,asgiref,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
django,pytz,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-rtd-theme,sphinxcontrib-jquery,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-rtd-theme,transifex-client,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-rtd-theme,sphinxcontrib-httpdomain,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-rtd-theme,bump2version,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-rtd-theme,wheel,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-rtd-theme,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-rtd-theme,docutils,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
brotlipy,cffi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
brotlipy,enum34,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
rst.linker,python-dateutil,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
rst.linker,six,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
argon2-cffi,pre-commit,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,cogapp,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,tomli,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,sphinx,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,sphinx-notfound-page,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,dataclasses,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,hypothesis,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,typing-extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,pytest,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,argon2-cffi-bindings,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,coverage[toml],#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
argon2-cffi,furo,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
pre-commit,virtualenv,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pre-commit,cfgv,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pre-commit,identify,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pre-commit,nodeenv,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pre-commit,pyyaml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,uvloop,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,aiohttp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,click,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,mypy-extensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,platformdirs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,colorama,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,pathspec,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,tomli,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,typing-extensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,ipython,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
black,tokenize-rt,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
crispy-bootstrap4,django-crispy-forms,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
crispy-bootstrap4,django,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
markdown2,wavedrom,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
markdown2,pygments,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
whitenoise,brotli,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
sphinx-removed-in,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-notfound-page,tox,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-notfound-page,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-notfound-page,sphinx-tabs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-notfound-page,sphinx-rtd-theme,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-notfound-page,sphinxemoji,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
sphinx-notfound-page,sphinx-autoapi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
requests-oauthlib,requests,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
requests-oauthlib,oauthlib[signedtoken],#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
requests-oauthlib,oauthlib,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
pytest-shard,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-xdist,filelock,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-xdist,execnet,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-xdist,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-xdist,psutil,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-xdist,setproctitle,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
watchdog,pyyaml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
django-heroku,whitenoise,#e91e63,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
django-heroku,psycopg2,#e91e63,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
django-heroku,django,#e91e63,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
django-heroku,dj-database-url,#e91e63,#d500f9,#d500f9,0,0,2023-12-19T19:25:49+05:30
pytest-cov,six,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-cov,pytest-xdist,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-cov,virtualenv,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-cov,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-cov,coverage[toml],#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-cov,fields,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-cov,hunter,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-cov,process-tests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
check-manifest,setuptools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
check-manifest,tomli,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
check-manifest,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
check-manifest,mock,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
check-manifest,build,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pyroma,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pyroma,setuptools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pyroma,trove-classifiers,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pyroma,zest.releaser[recommended],#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pyroma,build,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pyroma,docutils,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pyroma,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pyroma,pygments,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
mypy,setuptools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
mypy,lxml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
mypy,typing-extensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
mypy,mypy-extensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
mypy,tomli,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
mypy,psutil,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
mypy,pip,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,pytest-cov,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,sphinx-autodoc-typehints,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,sphinx-inline-tabs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,covdefaults,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,detect-test-pollution,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,wheel,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,importlib-metadata,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,tomli,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,colorama,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,pytest-xdist,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,pluggy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,devpi-process,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,hatchling,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,flaky,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,distlib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,hatch-vcs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,sphinx-copybutton,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,pyproject-api,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,filelock,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,furo,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,diff-cover,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,towncrier,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,pytest-mock,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,typing-extensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,re-assert,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,cachetools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,platformdirs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,time-machine,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,build[virtualenv],#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,chardet,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,sphinx-argparse-cli,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,sphinxcontrib-towncrier,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,psutil,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
tox,virtualenv,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-randomly,importlib-metadata,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-randomly,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
pytest-flake8,flake8,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T20:25:49+05:30
